Mar. 28, 2018   22:21:35
Cyclic Voltammetry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -1
High E (V) = 0
Low E (V) = -1
Init P/N = P
Scan Rate (V/s) = 0.4
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Potential/V, Current/A

-1.000, -1.631e-2
-0.999, -1.557e-2
-0.998, -1.489e-2
-0.997, -1.425e-2
-0.996, -1.366e-2
-0.995, -1.311e-2
-0.994, -1.256e-2
-0.993, -1.203e-2
-0.992, -1.154e-2
-0.991, -1.105e-2
-0.990, -1.056e-2
-0.989, -1.010e-2
-0.988, -9.636e-3
-0.987, -9.175e-3
-0.986, -8.714e-3
-0.985, -8.283e-3
-0.984, -7.852e-3
-0.983, -7.422e-3
-0.982, -7.022e-3
-0.981, -6.592e-3
-0.980, -6.192e-3
-0.979, -5.792e-3
-0.978, -5.392e-3
-0.977, -4.992e-3
-0.976, -4.623e-3
-0.975, -4.193e-3
-0.974, -3.824e-3
-0.973, -3.455e-3
-0.972, -3.086e-3
-0.971, -2.717e-3
-0.970, -2.348e-3
-0.969, -1.979e-3
-0.968, -1.640e-3
-0.967, -1.271e-3
-0.966, -9.330e-4
-0.965, -5.639e-4
-0.964, -2.256e-4
-0.963, 1.126e-4
-0.962, 4.817e-4
-0.961, 8.200e-4
-0.960, 1.127e-3
-0.959, 1.466e-3
-0.958, 1.804e-3
-0.957, 2.142e-3
-0.956, 2.450e-3
-0.955, 2.788e-3
-0.954, 3.126e-3
-0.953, 3.434e-3
-0.952, 3.772e-3
-0.951, 4.080e-3
-0.950, 4.387e-3
-0.949, 4.695e-3
-0.948, 5.002e-3
-0.947, 5.310e-3
-0.946, 5.617e-3
-0.945, 5.925e-3
-0.944, 6.233e-3
-0.943, 6.540e-3
-0.942, 6.848e-3
-0.941, 7.155e-3
-0.940, 7.463e-3
-0.939, 7.739e-3
-0.938, 8.047e-3
-0.937, 8.354e-3
-0.936, 8.631e-3
