Apr. 13, 2018   16:56:21
Chronopotentiometry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Cathodic Current (A) = 0.1184
Anodic Current (A) = 0.1184
Init P/N = N
Data Storage Interval (s) = 0.001
High E Limit (V) = 0
Low E Limit (V) = -1
Cathodic Time (s) = 10
Anodic Time (s) = 10
Current Switching Polarity = Potential
Segment = 5

Time/sec, Potential/V

1.000e-3, -8.489e-1
2.000e-3, -8.855e-1
3.000e-3, -9.076e-1
4.000e-3, -9.273e-1
5.000e-3, -9.448e-1
6.000e-3, -9.607e-1
7.000e-3, -9.752e-1
8.000e-3, -9.886e-1
9.000e-3, -6.006e-1
1.000e-2, -5.346e-1
1.100e-2, -4.839e-1
1.200e-2, -4.423e-1
1.300e-2, -4.064e-1
1.400e-2, -3.748e-1
1.500e-2, -3.468e-1
1.600e-2, -3.214e-1
1.700e-2, -2.981e-1
1.800e-2, -2.766e-1
1.900e-2, -2.565e-1
2.000e-2, -2.376e-1
2.100e-2, -2.195e-1
2.200e-2, -2.026e-1
2.300e-2, -1.871e-1
2.400e-2, -1.725e-1
2.500e-2, -1.590e-1
2.600e-2, -1.460e-1
2.700e-2, -1.334e-1
2.800e-2, -1.211e-1
2.900e-2, -1.094e-1
3.000e-2, -9.836e-2
3.100e-2, -8.860e-2
3.200e-2, -7.973e-2
3.300e-2, -7.074e-2
3.400e-2, -6.144e-2
3.500e-2, -5.282e-2
3.600e-2, -4.852e-2
3.700e-2, -4.419e-2
3.800e-2, -3.821e-2
3.900e-2, -3.168e-2
4.000e-2, -2.512e-2
4.100e-2, -1.860e-2
4.200e-2, -1.216e-2
4.300e-2, -5.800e-3
4.400e-2, -2.831e-1
4.500e-2, -3.769e-1
4.600e-2, -4.587e-1
4.700e-2, -5.252e-1
4.800e-2, -5.772e-1
4.900e-2, -6.189e-1
5.000e-2, -6.547e-1
5.100e-2, -6.867e-1
5.200e-2, -7.158e-1
5.300e-2, -7.427e-1
5.400e-2, -7.682e-1
5.500e-2, -7.936e-1
5.600e-2, -8.170e-1
5.700e-2, -8.370e-1
5.800e-2, -8.552e-1
5.900e-2, -8.716e-1
6.000e-2, -8.864e-1
6.100e-2, -9.005e-1
6.200e-2, -9.145e-1
6.300e-2, -9.282e-1
6.400e-2, -9.415e-1
6.500e-2, -9.539e-1
6.600e-2, -9.655e-1
6.700e-2, -9.764e-1
6.800e-2, -9.866e-1
6.900e-2, -9.965e-1
7.000e-2, -6.050e-1
7.100e-2, -5.359e-1
7.200e-2, -4.838e-1
7.300e-2, -4.411e-1
7.400e-2, -4.043e-1
7.500e-2, -3.715e-1
7.600e-2, -3.416e-1
7.700e-2, -3.143e-1
7.800e-2, -2.891e-1
7.900e-2, -2.660e-1
8.000e-2, -2.446e-1
8.100e-2, -2.242e-1
8.200e-2, -2.038e-1
8.300e-2, -1.838e-1
8.400e-2, -1.673e-1
8.500e-2, -1.540e-1
8.600e-2, -1.401e-1
8.700e-2, -1.256e-1
8.800e-2, -1.134e-1
8.900e-2, -1.076e-1
9.000e-2, -9.933e-2
9.100e-2, -8.999e-2
9.200e-2, -8.059e-2
9.300e-2, -7.133e-2
9.400e-2, -6.243e-2
9.500e-2, -5.383e-2
9.600e-2, -4.545e-2
9.700e-2, -3.731e-2
9.800e-2, -2.925e-2
9.900e-2, -2.143e-2
1.000e-1, -1.362e-2
1.010e-1, -6.182e-3
1.020e-1, -2.830e-1
1.030e-1, -3.780e-1
1.040e-1, -4.598e-1
1.050e-1, -5.237e-1
1.060e-1, -5.749e-1
1.070e-1, -6.176e-1
1.080e-1, -6.544e-1
1.090e-1, -6.873e-1
1.100e-1, -7.170e-1
1.110e-1, -7.434e-1
1.120e-1, -7.664e-1
1.130e-1, -7.874e-1
1.140e-1, -8.083e-1
1.150e-1, -8.282e-1
1.160e-1, -8.470e-1
1.170e-1, -8.653e-1
1.180e-1, -8.839e-1
1.190e-1, -9.016e-1
1.200e-1, -9.162e-1
1.210e-1, -9.296e-1
1.220e-1, -9.417e-1
1.230e-1, -9.522e-1
1.240e-1, -9.622e-1
1.250e-1, -9.725e-1
1.260e-1, -9.829e-1
1.270e-1, -9.931e-1
