Apr. 13, 2018   19:35:40
Cyclic Voltammetry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -1
High E (V) = 0
Low E (V) = -1
Init P/N = P
Scan Rate (V/s) = 0.02
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Potential/V, Current/A

-1.000, -7.567e-4
-0.999, 5.296e-4
-0.998, 1.557e-3
-0.997, 2.384e-3
-0.996, 3.078e-3
-0.995, 3.612e-3
-0.994, 4.047e-3
-0.993, 4.408e-3
-0.992, 4.690e-3
-0.991, 4.935e-3
-0.990, 5.129e-3
-0.989, 5.289e-3
-0.988, 5.430e-3
-0.987, 5.539e-3
-0.986, 5.624e-3
-0.985, 5.703e-3
-0.984, 5.775e-3
-0.983, 5.847e-3
-0.982, 5.900e-3
-0.981, 5.950e-3
-0.980, 5.999e-3
-0.979, 6.037e-3
-0.978, 6.081e-3
-0.977, 6.120e-3
-0.976, 6.137e-3
-0.975, 6.172e-3
-0.974, 6.197e-3
-0.973, 6.201e-3
-0.972, 6.229e-3
-0.971, 6.253e-3
-0.970, 6.282e-3
-0.969, 6.305e-3
-0.968, 6.320e-3
-0.967, 6.350e-3
-0.966, 6.366e-3
-0.965, 6.382e-3
-0.964, 6.405e-3
-0.963, 6.412e-3
-0.962, 6.432e-3
-0.961, 6.449e-3
-0.960, 6.436e-3
-0.959, 6.454e-3
-0.958, 6.471e-3
-0.957, 6.483e-3
-0.956, 6.509e-3
-0.955, 6.516e-3
-0.954, 6.536e-3
-0.953, 6.553e-3
-0.952, 6.555e-3
-0.951, 6.573e-3
-0.950, 6.578e-3
-0.949, 6.590e-3
-0.948, 6.602e-3
-0.947, 6.580e-3
-0.946, 6.603e-3
-0.945, 6.621e-3
-0.944, 6.623e-3
-0.943, 6.641e-3
-0.942, 6.648e-3
-0.941, 6.659e-3
-0.940, 6.677e-3
-0.939, 6.681e-3
-0.938, 6.692e-3
-0.937, 6.701e-3
-0.936, 6.701e-3
