Jan. 21, 2018   13:08:45
Chronopotentiometry
File: c:\users\lingd\desktop\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Cathodic Current (A) = 0.01468
Anodic Current (A) = 0.01468
Init P/N = N
Data Storage Interval (s) = 0.1
High E Limit (V) = 0.1
Low E Limit (V) = -0.9
Cathodic Time (s) = 10
Anodic Time (s) = 10
Current Switching Polarity = Potential
Segment = 5

Time/sec, Potential/V
1.990e+1, -1.474e-1
2.000e+1, -1.449e-1
2.010e+1, -1.424e-1
2.020e+1, -1.399e-1
2.030e+1, -1.375e-1
2.040e+1, -1.350e-1
2.050e+1, -1.325e-1
2.060e+1, -1.300e-1
2.070e+1, -1.275e-1
2.080e+1, -1.250e-1
2.090e+1, -1.225e-1
2.100e+1, -1.200e-1
2.110e+1, -1.175e-1
2.120e+1, -1.151e-1
2.130e+1, -1.125e-1
2.140e+1, -1.101e-1
2.150e+1, -1.076e-1
2.160e+1, -1.050e-1
2.170e+1, -1.025e-1
2.180e+1, -1.000e-1
2.190e+1, -9.753e-2
2.200e+1, -9.503e-2
2.210e+1, -9.251e-2
2.220e+1, -9.000e-2
2.230e+1, -8.749e-2
2.240e+1, -8.497e-2
2.250e+1, -8.247e-2
2.260e+1, -7.996e-2
2.270e+1, -7.742e-2
2.280e+1, -7.489e-2
2.290e+1, -7.237e-2
2.300e+1, -6.983e-2
2.310e+1, -6.731e-2
2.320e+1, -6.477e-2
2.330e+1, -6.224e-2
2.340e+1, -5.971e-2
2.350e+1, -5.717e-2
2.360e+1, -5.463e-2
2.370e+1, -5.211e-2
2.380e+1, -4.959e-2
2.390e+1, -4.706e-2
2.400e+1, -4.454e-2
2.410e+1, -4.202e-2
2.420e+1, -3.952e-2
2.430e+1, -3.704e-2
2.440e+1, -3.457e-2
2.450e+1, -3.210e-2
2.460e+1, -2.963e-2
2.470e+1, -2.716e-2
2.480e+1, -2.469e-2
2.490e+1, -2.221e-2
2.500e+1, -1.975e-2
