Mar. 29, 2018   14:20:51
Cyclic Voltammetry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -1
High E (V) = 0
Low E (V) = -1
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Potential/V, Current/A

-1.000, -2.599e-2
-0.999, -2.145e-2
-0.998, -1.780e-2
-0.997, -1.488e-2
-0.996, -1.253e-2
-0.995, -1.064e-2
-0.994, -9.075e-3
-0.993, -7.779e-3
-0.992, -6.703e-3
-0.991, -5.804e-3
-0.990, -5.051e-3
-0.989, -4.403e-3
-0.988, -3.850e-3
-0.987, -3.376e-3
-0.986, -2.965e-3
-0.985, -2.614e-3
-0.984, -2.299e-3
-0.983, -2.022e-3
-0.982, -1.785e-3
-0.981, -1.568e-3
-0.980, -1.372e-3
-0.979, -1.199e-3
-0.978, -1.037e-3
-0.977, -8.967e-4
-0.976, -7.694e-4
-0.975, -6.501e-4
-0.974, -5.460e-4
-0.973, -4.506e-4
-0.972, -3.647e-4
-0.971, -2.774e-4
-0.970, -1.968e-4
-0.969, -1.242e-4
-0.968, -5.361e-5
-0.967, 1.464e-5
-0.966, 7.393e-5
-0.965, 1.310e-4
-0.964, 1.856e-4
-0.963, 2.315e-4
-0.962, 2.797e-4
-0.961, 3.226e-4
-0.960, 3.601e-4
-0.959, 3.962e-4
-0.958, 4.376e-4
-0.957, 4.738e-4
-0.956, 5.077e-4
-0.955, 5.414e-4
-0.954, 5.753e-4
-0.953, 6.052e-4
-0.952, 6.329e-4
-0.951, 6.625e-4
-0.950, 6.870e-4
-0.949, 7.120e-4
-0.948, 7.354e-4
-0.947, 7.531e-4
-0.946, 7.779e-4
-0.945, 8.008e-4
-0.944, 8.214e-4
-0.943, 8.450e-4
-0.942, 8.625e-4
-0.941, 8.861e-4
-0.940, 9.056e-4
-0.939, 9.224e-4
-0.938, 9.426e-4
-0.937, 9.559e-4
-0.936, 9.737e-4
